Eleanor II;Shelby Mustang GT500;1967;Like the Lamborghini in The Cannonball Run, Eleanor stands out in a film full of hot cars. Her appearance has proved so popular that it’s contributed to higher pricing of late-60s Mustang fastbacks, and there’s now a cottage industry based on creating Eleanor replicas.
Ben’s Alfa Romeo;Alfa Romeo 1600 Spider Duetto;1966;The success of The Graduate turned the Alfa Romeo Spider into a worldwide icon, and definitely boosted sales of the car. The car’s fame and longevity would eventually inspire Alfa Romeo to introduce a “Graduate” edition.
George Barris Batmobile;Lincoln Futura;1954;Already famous as a star of the Batman TV show, the 1960s Batmobile made the jump to the big screen in 1966. This is probably the most iconic George Barris design, and it’s based on the Lincoln Futura concept car.
Charlie’s Getaway Minis;Austin Mk I Mini Cooper S;1968;The Mini was already a popular car in 1969, but The Italian Job is what helped make the car a legend in Europe. That, and a succession of mid-sixties Monte Carlo Rally wins. Although Michael Caine and Noel Coward are the stars of the movie, the Minis really steal the show.
The Bluesmobile;Dodge Monaco;1974;After trading the orginal Bluesmobile (a Cadillac) for a microphone, Elwood picked this gem up at the Mount Prospect city police auction. “They were practically giving them away!”
Mr. Frye’s Ferrari;Ferrari 250 GT California Spyder SWB;1961;Cameron says his father loves this car more than life itself. Ferris scoffs at his priorities, but does highly recommend picking one up, if you have the means. It’s a simply beautiful car, and fortunately the filmmakers destroy a mere replica, not the real thing.
Tim Burton’s Batmobile;GM Batmobile;1989;The 1989 Batman needed to overcome a lot of the camp baggage left by the old TV show, and the new Batmobile was big step in that direction. Although the 1960s Batmobile was cool, this new one was simply mind-blowing.
Starsky’s Gran Torino;Ford Gran Torino;1976;The long-running TV show helped make this car popular, but it’s the 2004 film the qualifies the iconic red Gran Torino hot rod for a high rank on the list. About ten of the cars were destroyed during filming, and only a couple have survived.
Bandit’s Trans Am;Pontiac Trans Am;1977;Burt Reynolds’ previous stint as bootlegger in White Lightning involved a relatively boring Ford 500. But this time around, he drives the outrageously-styled Trans Am, complete with the “Flaming Chicken” decals.
Ecto-1;Cadillac Miller-Meteor;1959;According to Ray, it just needs some suspension work and shocks. Brakes, brake pads, lining, steering box, transmission, rear-end. Also new rings, mufflers, a little wiring. But hey, the old ambulance was only $4800. That’s only about $10,000 when scaled up for inflation.
JB’s Aston Martin DB5;Aston Martin DB5;1963;This car is as much a part of James Bond lore as is the Walther PPK. Sean Connery can be seen driving it in Goldfinger and Thunderball, Pierce Brosnan drives one in Goldeneye and Tomorrow Never Dies, Daniel Craig drives one in Casino Royale, and Roger Moore uses one to goof on himself in The Cannonball Run.
Bullitt’s Mustang;Ford Mustang GT390 Fastback;1968;Bullitt may be the coolest movie by the coolest actor ever, Steve McQueen. So naturally, his car has to be cool, too. Two identical Mustangs were used for filming the iconic chase scene; one was scrapped after filming, and it’s rumored that the surviving car has been stored in a barn in the Ohio River Valley.
The General Lee;Dodge Charger;1969;Dumb movie, dumb TV show, awesome car. The General Lee is proof that you can keep a TV show on the air for 6 seasons simply based on the popularity of a single car (and Catherine Bach in tight shorts). Like some other cars on this list, the General was mainly known for TV, but found regained popularity when jumping to the big screen.
Herbie;Model 117 Volkswagen Type 1 (Beetle);1963;The 1968 Disney film The Love Bug was partly inspired by and helped push along the Beetle craze in the 1960s. The little grey race car with a lot of personality has since gone on to star in 4 sequels and a TV movie, with co-stars ranging from Bruce Campbell to Lindsay Lohan. Why is Herbie at #2 on this list? Try finding someone who doesn’t know who Herbie is.
Doc Brown’s De Lorean;De Lorean DMC-12;1981;The Back to the Future movies were all blockbusters, and were all based around one thing – a De Lorean-turned-time machine invented by the eccentric Doctor Emmett Brown (Christopher Lloyd).
